iter	Passed	Remaining
0	848	4239754
1	1610	4025476
2	2389	3980937
3	3145	3929088
4	3870	3867002
5	4094	3407778
6	4869	3473280
7	5569	3475569
8	6317	3503136
9	6632	3309647
10	7324	3321768
11	8099	3366677
12	8368	3210472
13	8941	3184613
14	9303	3091729
15	10099	3145840
16	10834	3175719
17	11468	3174346
18	12017	3150452
19	12556	3126681
20	12782	3030691
21	13470	3047927
22	14247	3083136
23	14870	3083153
24	14989	2982888
25	15678	2999437
26	16230	2989371
27	16346	2902703
28	16461	2821677
29	16939	2806252
30	17518	2808106
31	17636	2738052
32	18059	2718292
33	18307	2673967
34	18602	2638889
35	19182	2645107
36	19297	2588427
37	19621	2562090
38	20156	2564069
39	20464	2537555
40	21027	2543335
41	21739	2566314
42	22190	2558070
43	22891	2578444
44	23423	2579234
45	23732	2555858
46	24220	2552378
47	24331	2510174
48	24786	2504401
49	25487	2523278
50	25600	2484264
51	26374	2509609
52	26488	2472470
53	27023	2475191
54	27315	2455901
55	27785	2453068
56	28511	2472462
57	28953	2467055
58	29592	2478245
59	30258	2491294
60	30929	2504269
61	31495	2508482
62	31919	2501362
63	32355	2495392
64	32574	2473167
65	33003	2467249
66	33616	2475086
67	34323	2489498
68	35009	2501937
69	35604	2507568
70	36256	2516993
71	36580	2503743
72	37076	2502441
73	37186	2475404
74	37392	2455444
75	37951	2458853
76	38641	2470535
77	39319	2481182
78	40096	2497632
79	40925	2516921
80	41572	2524634
81	42293	2536580
82	42966	2545368
83	43695	2557199
84	44429	2569098
85	45216	2583669
86	45830	2588082
87	46535	2597510
88	46741	2579182
89	47471	2589835
90	48259	2603341
91	48996	2613877
92	49213	2596648
93	49905	2604652
94	50600	2612567
95	51273	2619224
96	52001	2628495
97	52657	2633927
98	53298	2638540
99	53925	2642359
100	54137	2625937
101	54827	2632782
102	55480	2637755
103	56194	2645470
104	56856	2650604
105	57485	2654084
106	58152	2659272
107	59016	2673249
108	59739	2680592
109	60442	2686955
110	61122	2692149
111	61801	2697189
112	62419	2699496
113	63066	2703016
114	63789	2709660
115	64493	2715401
116	65155	2719256
117	65899	2726436
118	66545	2729478
119	67270	2735670
120	68006	2742170
121	68769	2749663
122	69502	2755805
123	70252	2762493
124	70971	2767885
125	71615	2770265
126	72461	2780349
127	73165	2784871
128	73791	2786353
129	74520	2791658
130	75237	2796414
131	76008	2803096
132	76771	2809364
133	77478	2813494
134	78111	2814893
135	78822	2819065
136	79522	2822742
137	80253	2827498
138	80932	2830300
139	81635	2833923
140	82279	2835421
141	82983	2838986
142	83577	2838696
143	84306	2842990
144	85036	2847240
145	85658	2847844
146	86288	2848692
147	86985	2851707
148	87639	2853270
149	88406	2858476
150	89140	2862530
151	89726	2861804
152	90440	2865131
153	91202	2869904
154	91881	2872041
155	92653	2877024
156	93447	2882575
157	94166	2885779
158	94870	2888492
159	95094	2876598
160	95798	2879310
161	96537	2883025
162	97172	2883588
163	97918	2887401
164	98627	2890081
165	99346	2893006
166	100054	2895596
167	100779	2898598
168	101466	2900513
169	102200	2903688
170	102927	2906645
171	103707	2911041
172	104409	2913194
173	105150	2916411
174	106073	2924590
175	106731	2925426
176	107479	2928653
177	108160	2930042
178	108907	2933201
179	109673	2936799
180	110359	2938244
181	110906	2935965
182	111450	2933634
183	112101	2934124
184	112748	2934510
185	113437	2935969
186	114027	2934844
187	114713	2936187
188	115427	2938215
189	116089	2938907
190	116968	2945022
191	117702	2947472
192	118429	2949685
193	119139	2951472
194	119868	2953692
195	120610	2956185
196	121266	2956570
197	121906	2956539
198	122609	2958023
199	123344	2960261
200	124055	2961894
201	124804	2964426
202	125438	2964186
203	126257	2968279
204	126976	2970014
205	127573	2968860
206	128299	2970731
207	128944	2970691
208	129637	2971734
209	130440	2975281
210	131183	2977436
211	131796	2976622
212	132487	2977552
213	133230	2979621
214	133911	2980319
215	134597	2981083
216	135289	2981982
217	135941	2981982
218	136668	2983621
219	137250	2982085
220	137890	2981795
221	138460	2980018
222	139268	2983345
223	139914	2983171
224	140615	2984174
225	141307	2984957
226	142063	2987082
227	142664	2985932
228	143386	2987316
229	143989	2986214
230	144708	2987507
231	145401	2988261
232	146086	2988826
233	146738	2988707
234	147390	2988567
235	148053	2988682
236	148515	2984728
237	149177	2984798
238	149868	2985456
239	150441	2983764
240	151181	2985363
241	151844	2985436
242	152520	2985764
243	153235	2986837
244	153951	2987925
245	154699	2989600
246	155456	2991436
247	156060	2990324
248	156783	2991475
249	157384	2990311
250	158098	2991269
251	158797	2991954
252	159539	2993412
253	160164	2992684
254	160891	2993850
255	161543	2993603
256	161840	2986811
257	162312	2983285
258	163029	2984253
259	163711	2984583
260	164366	2984418
261	165010	2984044
262	165634	2983303
263	166341	2984068
264	167000	2983953
265	167640	2983499
266	168343	2984147
267	168939	2982922
268	169507	2981184
269	170238	2982321
270	170859	2981533
271	171609	2982968
272	172346	2984182
273	173032	2984487
274	173738	2985145
275	174377	2984641
276	174959	2983157
277	175641	2983380
278	176316	2983481
279	177038	2984359
280	177806	2986017
281	178472	2985940
282	179200	2986889
283	179887	2987144
284	180557	2987110
285	181298	2988252
286	182003	2988781
287	182674	2988758
288	183336	2988570
289	184039	2989052
290	184712	2989035
291	185364	2988682
292	186079	2989346
293	186674	2988059
294	187378	2988527
295	188087	2989067
296	188804	2989726
297	189514	2990253
298	190134	2989377
299	190763	2988630
300	191349	2987214
301	192061	2987759
302	192704	2987240
303	193316	2986233
304	194027	2986750
305	194677	2986323
306	195360	2986402
307	195847	2983502
308	196431	2982071
309	197091	2981803
310	197699	2980746
311	198525	2982972
312	198734	2975941
313	199309	2974412
314	199960	2974009
315	200534	2972482
316	201197	2972262
317	201907	2972739
318	202605	2973029
319	203316	2973500
320	204053	2974353
321	204878	2976470
